title,station,price,info,img,phone
临近地铁百子湾站 金泰先锋 南北通透两居室  拎包入住,金泰先锋北区,10000元/月,房源亮点此房是金泰先锋小区南北通透户型房子家具家电齐全业主好沟通长期出租适合一家人居住户型介绍此房户型为南北通透户型主卧朝南次卧朝北带飘窗客厅朝南餐厅和厨房朝北整体户型双通透通风效果好装修描述此房是业主之前自住的装修里面家具家电齐全可以拎包入住两个卧室一南一北适合一家三口以及同事合租交通出行小区门口南边就是7号线地铁百子湾站另外临近公交车站唐家村站有专71专45523路11路31路等多趟多线路公交出行方便周边配套此房处在地铁与周边大型超市永辉超市中段小区北面是永辉超市以及十几家饭店生活方便吃喝方便,"['https://image1.ljcdn.com/110000-inspection/06ff631b-3dc5-4909-807f-910a560ee018.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/b0556be3-b7ce-448a-962d-57bd7af6e3a0.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/fdc2f1d2-552d-4493-9126-81342c50bcd7.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/f6a65601-fabc-43e3-b076-5ec64978b2b0.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/de2f9fe1-1661-4b32-857f-cf23d593aa6d.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/669d7849-f31a-4d89-8b34-3a05cc51f83d.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/4bbe3dd3-83df-4f6a-ac52-6f77b5279e4a.png.600x450.jpg']",40089178084942
同兴园 正规三居室 中等装修 家具家电齐全 集中供暖,同兴园,4800元/月,交通出行出小区东门是公交站同兴园东门站南门是同兴园站可乘坐474路829路等公交车直达新宫地铁站新宫地铁有始发车交通不拥挤周边配套出小区南门对面有京客隆超市往西走有餐馆往东走有菜市场生活购物便利房源亮点此房是同兴园小区正规的三居室客厅朝西带阳台主卧朝南双次卧朝北南北通透采光通风好,"['https://image1.ljcdn.com/110000-inspection/9bb6685c-8539-4ec9-a092-571820a93c64.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/624a77fd-ad9d-4f8c-a3c1-0cb04c2acc99.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/f58dc49e-fbb9-48ac-95bc-a04a35b16b8e.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/a315c8dc-114e-472e-9ef8-640d601d7fa9.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/aa3030b4-1ce3-4aaa-9c88-24710449c065.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/ccbcf35c-6466-4eb5-bc9d-308aec053fb6.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/6e611813-efc7-4c26-806d-83690702e1e8.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/1655d81f-9c7e-4ba8-ac25-164390b78061.png.600x450.jpg']",40087857822829
南北通透两居室，环境新，近地铁,六里桥7号院,7800元/月,户型介绍此房为南北通透两居室主卧朝南带阳台次卧朝北打开屋门就能形成良好的自然通风卫生间位于两卧室之间使用方便厨房位于次卧室旁边客厅位于两卧室之间大面宽大进深周边配套此房所在位置非常繁华配套齐全小区的南边就是地铁站六里桥站小区西边就是银座购物广场距离北京市电力医院只需要一站地铁的时间居家生化非常便利小区介绍此房所在小区是1994年新建社区主力户型为板楼两居室楼间距大小区门口每天有保安值岗安全舒适小区还有地上停车位不要钱,"['https://image1.ljcdn.com/110000-inspection/eb861552-435e-4f6e-8040-3a4e1f88deed.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/f4a4e257-5c35-4325-b59b-bbd4721a4d31.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/a3520b40-9af1-4fa9-a7fb-197e65942faa.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/d71fec2f-28b3-4407-a769-a5715260af3e.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/c5ed3104-ad0b-4b0b-9d10-d54d376122ae.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/32840e4d-e2a2-4994-87f7-b045e2f1a042.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/edd2c369-2f95-4493-8f09-783f7b5e4bab.png.600x450.jpg']",40085986189175
润枫锦尚 2室2厅 4500元,润枫锦尚,4500元/月,,"['https://image1.ljcdn.com/110000-inspection/b359af6e-a2c3-4873-90f5-782229461432.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/95e14be0-1758-4015-bf71-2431e69306fa.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/9dd2dc92-e0b2-4019-ab17-a31067544e04.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/0e2484ca-dc8e-4080-8692-23cfd0ef6a38.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/bd7edc94-007b-48f7-a2a1-f1dc1de956f8.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/d72c4a59-98b9-42b6-bbfc-3ecd589ed68a.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/6a95521c-8e9c-4b0c-a98e-565febd1d663.png.600x450.jpg']",40080507765010
文化路社区 3室1厅 4500元,文化路社区,4500元/月,,"['https://image1.ljcdn.com/110000-inspection/de610dcd-58c8-403a-84fe-060ba95b5cd8.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/9088abac-dd44-430b-b777-9f8d549fe17e.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/efb5e494-aae9-4c91-9dbb-e27096a76719.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/1bc32098-57ed-4ed1-8b83-c3183734d421.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/81ea25b2-e65b-47e1-9f6a-1d6bc05ba2ff.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/dedfee7c-2de8-4c96-aabc-74517fe83b39.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/3bfb554c-f31b-4ae5-86f9-192440d54031.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/702aafcb-7592-48cd-aa2c-6f378a285b3f.png.600x450.jpg']",40088567063503
金漫花园洋房三居带露台，看房方便，环境优美,金色漫香林五期,9000元/月,户型介绍此房为南北通透洋房三居室主卧客厅朝南三室两卫生间南边带一个大露台客厅带一个小阳台周边配套小区边上有华联超市京客隆超市亦庄三幼小大人艺术幼儿园三羊生活广场联生超市生活便利小区介绍此房所在小区是金色漫香林五期建成年代2011年小区周边全是住宅区安静舒适,"['https://image1.ljcdn.com/110000-inspection/320f6c58-c820-478d-bd70-8465a067d5e0.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/a1932cc5-bed7-450a-9436-eab5834221fc.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/792e1898-4709-4d23-a5fb-5beb28de2cbd.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/b10bb4e0-06bc-487b-9ef0-d1bae8c131a0.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/9344553b-4f15-4755-9e75-82984a21ed69.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/1f74aea1-807c-4918-bc03-32af9955c60e.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/faee832c-d6a3-462e-9686-eb97d09a5d3b.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/065c5720-d269-426e-9579-a0a81f2bc5e1.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/d760b602-ea33-4c50-9629-0e6122cb92a1.png.600x450.jpg']",40086056692425
西山华府 1室0厅 5800元,西山华府,5800元/月,,"['https://image1.ljcdn.com/110000-inspection/ce743c3c-d453-4ef6-9f79-49833e82034f.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/3ab14e86-c9b1-45e9-a35c-b684aaf6f844.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/53b46aad-70b1-4b10-8b98-021f3645d98b.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/40be6d98-599c-43b1-b0c3-cbe6915c31d3.png.600x450.jpg']",40087735154459
优选：小区静谧、环境优雅、观景国贸、品质装修,四合上院,15000元/月,交通出行地铁2号线4号线宣武门站下公交项目周边汇集6031021057054204646201548743路等10余条公交线路在宣武门外大街下车均可到达房源亮点本房业主第一次出租家具家电全齐室内双层中空玻璃窗户安装有安全防护网博洛尼橱柜老板卫浴品质装修周边配套行政新闻出版总署国家知识产权局中国国际新闻中心新华社图片社等银行中国建设银行招商银行广发银行中国银行交通银行北京银行等邮政中国联通中国移动椿树园邮电所北京市郊区电信局等购物庄胜崇光百货SOGO沃尔玛,"['https://image1.ljcdn.com/110000-inspection/bc38c654-f3b5-4c02-abac-08b20940c477.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/3dcc2787-ecfa-4e19-8a3b-4d5fbaf1f83c.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/cc03f257-a1ba-4754-81fb-7bec2c1a60b8.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/17c29a65-ac1b-45f1-9ac4-5cb2e801ad5d.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/94840b20-4c1b-4f9c-a9ca-7d04b0a7454d.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/bd2739ce-2bcf-455a-958d-125032a5147f.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/229b8e1a-f2b7-4fb4-8cc7-1e1d9156e979.png.600x450.jpg']",40086011024378
翰林庭院 2室1厅 5800元,翰林庭院,5800元/月,,"['https://image1.ljcdn.com/110000-inspection/dd7861fc-ffbb-4f29-a656-ff35da38ec07.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/5beb9b28-4f5e-4958-89e4-f1dcaf660ee5.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/b5d6982e-2f0d-4b55-ade8-3e6a75431367.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/99e25fa5-562d-4eab-a0a7-6aad848fc6af.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/44cabc83-5d3d-40e3-b313-7b8c7072fea7.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/839fb611-562e-4ce0-9066-ced1e876ea55.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/792c2f31-a3b7-402a-9abf-f9a40ba6b9cf.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/366b16d7-fef1-4b93-962a-e42e2f7ee4e8.png.600x450.jpg']",40086063534285
红杉国际公寓 2房间1卫 14000元,红杉国际公寓,14000元/月,,['https://image1.ljcdn.com/x-se/hdic-frame/877e59e6-0e50-46a7-a1bc-f6cef8651b6a.png.600x450.jpg'],
润枫领尚 紧凑小三居 自住标准的精装修,润枫领尚,5500元/月,户型介绍此房整体南北通透是紧凑型三居自住标准的精装修适合一家人居住交通出行小区门口就是润枫领尚小区公交车站可以乘坐986637路分别去往方庄北京站方向小区介绍润枫领尚小区是2013年的商品房社区均为板楼两居以上全部都是南北通透的设计适宜居住,"['https://image1.ljcdn.com/110000-inspection/4fb98d7b-2214-40fd-83ad-275ea7b13a28.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/03f20142-414d-43ad-8145-7beb47abcb14.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/f5c72bd8-b6a2-40e8-b045-20821686b116.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/b59657eb-3762-47c4-b44c-c1580eaf0a85.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/c36e4a88-5171-41fb-a714-83210acdb5b8.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/693ebea4-9258-432b-842b-b7506217e34e.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/5245da7f-3c7e-4a48-8145-d4c2778b0735.png.600x450.jpg']",40089178865172
SOHO现代城 1室1厅 15000元,SOHO现代城,15000元/月,,"['https://image1.ljcdn.com/110000-inspection/330ce434-f10b-419d-832f-027af6f9afd3.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/66d58dcb-473c-4fda-8989-0dd84c343e08.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/8ea24578-888f-4f2f-b339-341dcd3ea875.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/2b0a860a-9160-40a3-89f1-b1ed2932a5aa.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/a258c1fb-c288-4945-b206-b30432bafc95.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/c7570e98-bd39-4fd9-bfbb-662fe7df217f.png.600x450.jpg']",40089135598321
柏儒苑 3室2厅 13000元,柏儒苑,13000元/月,,['https://image1.ljcdn.com/x-se/hdic-frame/97adb84b-c78c-42db-809d-f2f7668a7561.png.600x450.jpg'],40086036997695
中等楼层精装修，上下两层复试。楼上楼下都面积一样,润都大厦,7200元/月,户型介绍朝西向的上下两层的复试房子精装中楼层朝西向的户型出租原因业主有其它房子住房子是15年买的目前出租目前有租户里面看房子方便周边配套位于方庄桥东南角出小区西门就是三环公交车路线98525300300快51153573623652680848973路986路特8运通107路地铁10号线成寿寺站1500米百度地图测距交通便利,['https://image1.ljcdn.com/x-se/hdic-resblock/fa4acd34-aa57-42ad-ac91-cb2726698039.jpg.600x450.jpg'],40089500397420
华业国际中心 商业办公 上下两层 可注册,华业国际公寓,60000元/月,装修描述房子装修时开发商赠送的精装修租户保持的都很好如果继续办公不用重新装修交通出行小区位于东四环内交通便利小区门口就是红领巾桥南公交车站进出方便户型介绍房子是东向大开间适合小面积办公也可以自己简单的布置自己的家具房源亮点房子精装上下两层办公可以注册位置好位于东四环路以内交通便利,['https://image1.ljcdn.com/x-se/hdic-resblock/185e26fd-43c6-4a15-a1a5-049ec3b74658.jpg.600x450.jpg'],40087939786160
